id,name,year,certificate,runtime(minutes),genre,ratings
tt3581920,The Last of Us,2023– ,UA 16+,50.0,"Action, Adventure, Drama",9.2
tt14269590,Poker Face,,,58.0,"Crime, Drama, Mystery",8.2
tt13406094,The White Lotus,2021–2023,18,60.0,"Comedy, Drama",7.9
tt13802576,Lockwood & Co,2023– ,UA 13+,44.0,"Action, Adventure, Drama",7.5
tt4236770,Yellowstone,2018–2023,18,60.0,"Drama, Western",8.7
tt15677150,Shrinking,2023– ,A,33.0,"Comedy, Drama",7.8
tt13443470,Wednesday,2022– ,UA 13+,45.0,"Comedy, Crime, Fantasy",8.2
tt15591076,That '90s Show,2023– ,UA 13+,30.0,"Comedy, Drama, Romance",6.4
tt14153790,Velma,,,,"Animation, Adventure, Comedy",1.4
tt1520211,The Walking Dead,2010–2022,18+,44.0,"Drama, Horror, Thriller",8.1
tt0944947,Game of Thrones,2011–2019,A,57.0,"Action, Adventure, Drama",9.2
tt10813940,Ginny & Georgia,2021– ,16,,"Comedy, Drama",7.5
tt3428912,Happy Valley,2014–2023,Not Rated,58.0,"Crime, Drama, Thriller",8.5
tt18335752,1923,,,60.0,"Drama, Western",8.6
tt0903747,Breaking Bad,2008–2013,18,49.0,"Crime, Drama, Thriller",9.5
tt0452046,Criminal Minds,,,42.0,"Crime, Drama, Mystery",8.1
tt7456722,Hunters,2020–2023,18,60.0,"Crime, Drama, Mystery",7.2
tt16358384,Tulsa King,,,40.0,"Crime, Drama",8.1
tt7440726,Your Honor,2020–2023,18,57.0,"Crime, Drama, Thriller",7.6
tt11247158,The Legend of Vox Machina,2022– ,A,30.0,"Animation, Action, Adventure",8.4
tt11712058,Mayor of Kingstown,,,,"Crime, Drama, Thriller",8.2
tt10293938,Outer Banks,2020– ,18,50.0,"Action, Crime, Drama",7.6
tt3032476,Better Call Saul,2015–2022,16+,46.0,"Crime, Drama",8.9
tt7587890,The Rookie,2018– ,UA 16+,43.0,"Action, Crime, Drama",8.0
tt0165598,That '70s Show,1998–2006,18,22.0,"Comedy, Drama, Romance",8.1
tt14531842,Extraordinary,2023– ,A,25.0,"Action, Adventure, Comedy",7.9
tt15487922,Wolf Pack,,,53.0,"Drama, Fantasy, Horror",6.0
tt7949212,Accused,,,44.0,"Crime, Drama",7.3
tt1190634,The Boys,2019– ,18+,60.0,"Action, Comedy, Crime",8.7
tt0413573,Grey's Anatomy,2005– ,15+,41.0,"Drama, Romance",7.6
tt0386676,The Office,2005–2013,U,22.0,Comedy,9.0
tt11311302,Vikings: Valhalla,2022– ,18,51.0,"Action, Adventure, Drama",7.3
tt4574334,Stranger Things,2016–2024,15,51.0,"Drama, Fantasy, Horror",8.7
tt8111088,The Mandalorian,2019– ,U,40.0,"Action, Adventure, Fantasy",8.7
tt7660850,Succession,2018– ,15+,60.0,Drama,8.8
tt4565380,Fauda,2015– ,18+,60.0,"Action, Drama, Thriller",8.3
